Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Dialogue Act
2898,Hang-hang on.,Earl,neutral,292,2,7,13,"00:10:21,000","00:10:22,579",c
2899,Hey everybody!,Earl,neutral,292,3,7,13,"00:10:22,788","00:10:24,581",g
2900,"Uh, Im gonna kill myself!",Earl,sadness,292,4,7,13,"00:10:24,749","00:10:26,875",s
2902,I got nothing.,Earl,neutral,292,5,7,13,"00:10:31,005","00:10:32,297",s
2907,"Apparently, theres like a million guys out there that can play Mac, and theres only this one robot and this one guy who controls it!",Joey,surprise,293,0,6,21,"00:12:47,808","00:12:55,857",o
2908,I didnt know he could get me fired!,Joey,surprise,293,1,6,21,"00:12:52,354","00:12:55,857",s
2909,What am I going to do?,Joey,fear,293,2,6,21,"00:12:56,025","00:12:58,026",q
2910,"Well yknow Joey, youre a pretty charming guy.",Monica,neutral,293,3,6,21,"00:12:56,025","00:13:00,487",o
2911,"Thanks, but I kinda have a problem to deal with here.",Joey,fear,293,4,6,21,"00:13:00,654","00:13:10,371",s
2912,"No sweetie, youve got to win over the guy that controls C.H.E.E.S.E.! Youve got to kiss some serious robot ass!",Monica,neutral,293,5,6,21,"00:13:03,032","00:13:10,371",o
2913,Thats not a bad idea.,Joey,neutral,293,6,6,21,"00:13:11,540","00:13:13,374",ag
2915,"Okay, but if I got to turn on the charm tomorrow Im not wasting anymore of it over here with you guys.",Joey,neutral,293,7,6,21,"00:13:13,542","00:13:18,087",o
2916,"Well, actually I got a little bit saved for you Pheebs.",Joey,joy,293,8,6,21,"00:13:18,255","00:13:21,591",s
2917,"So do you think uh, Joeys more charming than me?",Chandler,neutral,293,9,6,21,"00:13:25,054","00:13:27,639",q
2918,Yeah! Thats why Im sleeping with him on the side.,Monica,sadness,293,10,6,21,"00:13:27,807","00:13:30,391",ans
2919,"Yeah, you wish.",Chandler,neutral,293,11,6,21,"0:13:30,559","0:13:31,701",oth
2920,"""You wish.""",Phoebe,joy,293,12,6,21,"0:13:31,701","0:13:32,736",oth
2921,Why are you yelling?,Paul,joy,294,0,6,22,"0:12:39,216","0:12:40,259",q
2922,"Whoa, that",Rachel,neutral,294,1,6,22,"0:12:40,259","0:12:40,871",oth
2923,"Whoa-whoa, what is it?",Joey,surprise,295,0,7,11,"00:13:45,908","00:13:47,075",q
2924,Well Its a date.,Phoebe,neutral,295,1,7,11,"00:13:48,077","00:13:50,995",ans
2925,A date?!,Joey,surprise,295,2,7,11,"00:13:51,163","00:13:53,000",q
2926,"No, no Pheebs you-you must be mistaken, because I know you wouldnt schedule a date on the same night you have plans with a friend!",Joey,surprise,295,3,7,11,"00:13:51,163","00:13:58,670",o
2927,"Come on Joey, dont make me feel badly about this.",Phoebe,sadness,295,4,7,11,"00:13:58,838","00:14:00,713",s
2928,"No, Im gonna!!",Joey,anger,295,5,7,11,"00:14:00,881","00:14:02,423",s
2929,Thats right!,Joey,anger,295,6,7,11,"00:14:03,968","00:14:06,261",s
2930,"Yeah, you made me feel really guilty about goin out with that girl!",Joey,anger,295,7,7,11,"00:14:06,428","00:14:07,762",s
2931,Like-like-like I did something terrible to you!,Joey,anger,295,8,7,11,"0:14:07,930","0:14:09,849",s
2932,"And now Pheebs, youre doing the same thing!",Joey,anger,295,9,7,11,"0:14:09,849","0:14:11,778",s
2933,ThatIts not the same thing! This is,Phoebe,anger,295,10,7,11,"00:14:11,892","00:14:14,602",s
2934,"Okay, well my girl from the other night was special. She was a scientist too!",Joey,anger,295,11,7,11,"00:14:19,733","00:14:23,319",s
2935,She was?,Phoebe,surprise,295,12,7,11,"00:14:22,069","00:14:23,319",q
2936,"Well, she graduated from high school!",Joey,anger,295,13,7,11,"00:14:23,737","00:14:26,364",ans
2937,"Okay, whatever.",Phoebe,joy,295,14,7,11,"0:14:27,366","0:14:28,708",oth
2938,Yknow what?,Phoebe,neutral,295,15,7,11,"0:14:28,708","0:14:28,967",q
2939,"I dont have time to convince you because hes only here for four hours, and Im gonna go see him!",Phoebe,anger,295,16,7,11,"00:14:29,076","00:14:32,787",ans
2940,Fine!,Joey,anger,295,17,7,11,"0:14:32,955","0:14:33,667",ag
2941,Yeah!,Phoebe,anger,295,18,7,11,"0:14:33,667","0:14:34,059",b
2942,Fine!,Joey,anger,295,19,7,11,"0:14:34,059","0:14:34,602",s
2943,Yeah!,Phoebe,anger,295,20,7,11,"0:14:34,602","0:14:35,853",b
2944,"What are you still doin here?! I told you, lobster ravioli!",Joey,anger,295,21,7,11,"00:14:37,001","00:14:40,753",q
2945,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",Ross,neutral,296,0,1,2,"00:14:38,085","00:14:41,546",s
2946,Hi.,Susan,neutral,296,1,1,2,"00:14:42,631","00:14:44,173",g
2947,"Ross, you remember Susan.",Carol,neutral,296,2,1,2,"0:14:44,758","0:14:46,690",q
2948,How could I forget?,Ross,surprise,296,3,1,2,"0:14:46,690","0:14:47,832",ans
2949,Ross.,Susan,neutral,296,4,1,2,"0:14:47,832","0:14:47,971",g
2950,"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",Ross,anger,296,5,1,2,"00:14:49,471","00:14:56,728",q
2951,Dr. Oberman.,Carol,neutral,296,6,1,2,"0:14:56,937","0:14:57,829",ans
2952,..Dr. Oberman. Okay. And is he-,Ross,neutral,296,7,1,2,"0:14:57,829","0:14:59,285",q
2953,She.,Susan,neutral,296,8,1,2,"00:14:59,440","00:15:01,983",ans
2954,#NAME?,Ross,neutral,296,9,1,2,"00:14:59,440","00:15:07,196",s
2955,"Yes, and she's very supportive.",Carol,neutral,296,10,1,2,"00:15:07,406","00:15:09,240",s
2956,"Okay, that's great. No, I'm- Oh.",Ross,joy,296,11,1,2,"00:15:09,450","00:15:14,704",o
2957,Thanks.,Carol,neutral,296,12,1,2,"00:15:15,706","00:15:17,165",g
2958,"Quack, quack..",Ross,neutral,296,13,1,2,"00:15:31,680","00:15:32,889",oth
2959,Ross? That opens my cervix.,Carol,surprise,296,14,1,2,"00:15:35,309","00:15:38,937",s
2960,Barry?,Rachel,surprise,296,15,1,2,"0:15:45,778","0:15:46,279",g
2961,C'mon in.,Barry,neutral,296,16,1,2,"0:15:46,279","0:15:48,348",s
2962,Are you sure?,Rachel,surprise,296,17,1,2,"00:15:48,489","00:15:49,447",q
2963,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",Barry,neutral,296,18,1,2,"00:15:49,657","00:15:52,116",ans
2964,Huh?!,Robbie,surprise,296,19,1,2,"00:15:52,326","00:15:53,493",b
2965,"So, how ya doin?",Barry,neutral,296,20,1,2,"00:15:56,705","00:15:58,414",q
2967,Does she use the cups? Yes! I believe she does. Does she use the plates? Yes! I believe she does.,Monica,neutral,297,0,4,20,"00:08:33,763","00:08:37,599",s
2968,"Oh. Thank you. Ohhh, thank you very much. Oh, thank you for coming. Uh, just a second!",Monica,joy,297,1,4,20,"00:08:47,109","00:08:53,114",g
2969,"No-no, let me in!",Phoebe,anger,297,2,4,20,"0:08:59,872","0:09:02,083",s
2970,Phoebe?,Monica,neutral,297,3,4,20,"0:09:02,083","0:09:02,623",g
2971,Yeah!,Phoebe,joy,297,4,4,20,"00:09:02,708","00:09:03,917",b
2972,Can you just hold on for one minute?,Monica,neutral,297,5,4,20,"00:09:04,085","00:09:05,794",q
2973,"No, you have to let me in right now!!",Phoebe,joy,297,6,4,20,"00:09:05,962","00:09:08,213",ans
2974,Are you alone?,Monica,neutral,297,7,4,20,"0:09:09,882","0:09:10,466",q
2975,Yes!,Phoebe,joy,297,8,4,20,"0:09:10,466","0:09:11,858",ans
2976,All right.,Monica,neutral,297,9,4,20,"00:09:12,802","00:09:13,969",s
2977,Let go!,Monica,anger,298,0,3,9,"0:22:08,368","0:22:08,952",c
2978,No! You let go!,Ross,anger,298,1,3,9,"0:22:08,952","0:22:11,294",dag
2980,How come its always us left in the field holding the ball?,Ross,joy,298,2,3,9,"00:22:13,206","00:22:16,250",q
2981,I dont know. I guess the other people just dont care enough.,Monica,neutral,298,3,3,9,"00:22:16,418","00:22:20,254",ans
2982,Hey! Its starting to snow.,Ross,sadness,298,4,3,9,"00:22:25,927","00:22:28,804",s
2983,Gimme the this!,Ross,anger,298,5,3,9,"0:22:33,060","0:22:35,605",c
2984,Let go!,Monica,anger,298,6,3,9,"0:22:35,605","0:22:36,285",c
2985,Y'know what?,Joey,neutral,299,0,3,5,"0:21:45,387","0:21:47,189",q
2986,Umm?,Chandler,neutral,299,1,3,5,"0:21:47,189","0:21:47,735",b
2987,I bet ya ya I could fit in there.,Joey,neutral,299,2,3,5,"00:21:47,848","00:21:49,348",o
2988,Ive got five bucks says you cant.,Chandler,neutral,299,3,3,5,"00:21:51,935","00:21:54,562",s
2989,"Shoot! Shoot! Shoot! Shoot, or just fall down. That's good too.",Joey,joy,300,0,1,23,"00:03:37,967","00:03:42,137",c
2990,Knick fan?,Lydia,neutral,300,1,1,23,"0:03:43,056","0:03:43,818",q
2991,"Oh, yeah.",Joey,neutral,300,2,1,23,"0:03:43,818","0:03:44,358",ans
2992,"Oh, boy, do they suck.",Lydia,anger,300,3,1,23,"0:03:44,474","0:03:46,566",q
2993,"Hey, listen, lady.......whoa.",Joey,surprise,300,4,1,23,"0:03:46,566","0:03:47,696",c
2994,"Look, look at your man, Ewing. Nice shot. You know what, he couldn't hit water if he was standing on a boat.",Lydia,disgust,300,5,1,23,"00:03:50,480","00:03:56,443",s
2995,Oh yeah? And who do you like?,Joey,neutral,300,6,1,23,"00:03:56,611","00:03:58,111",q
2996,The Celtics.,Lydia,neutral,300,7,1,23,"0:03:58,279","0:03:59,041",ans
2997,"The Celtics? Ha. They couldn't hit a boat if...wait. They suck, alright?",Joey,disgust,300,8,1,23,"0:03:59,041","0:04:07,581",o
2998,"Oh, shut up. You know, it's a rebuilding year. You... waah!",Lydia,anger,300,9,1,23,"00:04:08,081","00:04:11,875",s
2999,"Wha? Wha..aa? Let me get the father. Hey, we need a father over here! We need a father!",Joey,anger,300,10,1,23,"00:04:12,043","00:04:17,506",s
3000,There is no father.,Lydia,neutral,300,11,1,23,"00:04:16,172","00:04:17,506",s
3001,"Oh, oh, oh, sorry.",Joey,fear,300,12,1,23,"00:04:17,674","00:04:19,424",ap
3003,"Oh, uh, ok. Right this way. All the other pregnant women seem to be goin' in here.",Joey,neutral,300,14,1,23,"0:04:23,222","0:04:23,612",s
3004,Ok.,Lydia,neutral,300,15,1,23,"00:04:20,885","00:04:23,553",s
3005,"Sweetheart, just gimme- gimme another chance, okay, we'll start all over again. We'll go back to Aruba.",Barry,fear,301,0,1,20,"00:19:25,164","00:19:32,128",s
3006,"Dr. Farber, we've got a bit of an emergency here...Jason Costalano is choking on his retainer.",Bernice,fear,301,1,1,20,"00:19:35,465","00:19:41,220",s
3007,Oh God...,Barry,fear,301,2,1,20,"00:19:41,388","00:19:43,141",oth
3008,"I'll be right there, Bernice.",Barry,neutral,301,3,1,20,"00:19:41,388","00:19:44,265",s
3009,"Look, please, please don't go anywhere, okay?",Barry,fear,301,4,1,20,"00:19:44,433","00:19:46,726",s
3011,Okay.,Rachel,neutral,301,6,1,20,"0:19:48,456","0:19:50,116",ag
3012,"Okay, we'll be here!",Rachel,neutral,301,7,1,20,"0:19:50,230","0:19:52,441",s
3013,Hating you!,Rachel,anger,301,8,1,20,"0:19:52,441","0:19:53,301",s
3014,Did you see how he was sweating when he walked out of there?,Rachel,surprise,301,9,1,20,"00:19:54,443","00:19:59,697",q
3015,"Listen honey, if I'm hogging the ball too much you just jump right in there and take a couple punches because I'm telling you, this feels",Rachel,neutral,301,10,1,20,"00:19:57,321","00:20:07,622",s
3016,Yeah... I'm pretty sure I'm still gonna marry him.,Mindy,joy,301,11,1,20,"00:20:03,744","00:20:07,622",o
3017,"What are you talking about?! Mindy, the guy is the devil! He's Satan in a smock!",Rachel,disgust,301,12,1,20,"00:20:08,749","00:20:16,214",o
3018,"Look, I know he's not perfect, but the truth is, at the end of the day, I still really wanna be Mrs. Dr. Barry Farber, D.D.S.",Mindy,neutral,301,13,1,20,"00:20:17,007","00:20:24,972",o
3019,Oh God.,Rachel,surprise,301,14,1,20,"00:20:34,358","00:20:35,858",oth
3020,I hope you can find some way to be happy for me. And I hope you'll still be my maid of honor...?,Mindy,fear,301,15,1,20,"00:20:36,360","00:20:42,365",s
3021,And I hope Barry doesn't kill you and eat you in Aruba.,Rachel,sadness,301,16,1,20,"00:20:43,617","00:20:46,702",s
3022,"Listen, Roberts gonna be here any second so, will one of you just tell him?",Phoebe,neutral,302,0,3,13,"00:16:52,761","00:16:57,015",q
3023,Oh.,Ross,sadness,302,1,3,13,"00:16:57,182","00:16:58,683",oth
3024,"Please, right now, no, every time I see him its like Is it on the lose? Is it watching me?",Phoebe,fear,302,2,3,13,"00:16:58,851","00:17:08,901",o
3025,"We cant tell him, you cant go up to a guy you barely know and talk about his.... stuff.",Chandler,anger,302,3,3,13,"00:17:04,648","00:17:08,901",o
3026,"Hes right, even if its to say something complementary.",Ross,neutral,302,4,3,13,"00:17:11,488","00:17:15,324",ag
3027,Hey!,Robert,surprise,302,5,3,13,"0:17:18,787","0:17:19,288",g
3028,Hey.,Phoebe,neutral,302,6,3,13,"0:17:19,288","0:17:20,717",g
3029,"So are ready for the gym? Theyve got this new rock climbing wall, we can spot each other.",Robert,neutral,302,7,3,13,"00:17:20,831","00:17:29,505",q
3030,"No, I can spot you from here.",Phoebe,neutral,302,8,3,13,"00:17:26,962","00:17:29,505",ans
3031,What?,Robert,surprise,302,9,3,13,"00:17:32,634","00:17:34,135",q
3032,"Okay, listen Robert...",Phoebe,neutral,302,10,3,13,"00:17:35,012","00:17:37,555",c
3033,I dont have time for this.,Phoebe,anger,303,0,2,5,"00:11:10,795","00:11:12,921",s
3034,"No, that is what the game is.",Monica,neutral,303,1,2,5,"00:11:13,089","00:11:16,758",dag
3035,Which you just gave up really quickly.,Phoebe,neutral,304,0,3,5,"00:11:13,089","00:11:16,758",s
3036,Have you seen Joey?,Chandler,neutral,304,1,3,5,"0:11:19,428","0:11:20,304",q
3037,Whats the matter?,Monica,neutral,304,2,3,5,"0:11:20,304","0:11:21,320",q
3038,"Oh, just this! Yknow what its my fault really, because the couch is usually where we",Chandler,neutral,304,3,3,5,"00:11:21,430","00:11:37,529",s
3039,"Hey, does somebody wanna hand me one of those tiles.",Joey,neutral,304,4,3,5,"00:11:35,236","00:11:37,529",s
3040,Whats going on?,Chandler,surprise,304,5,3,5,"0:11:39,949","0:11:40,841",q
3041,Hes retiling my floor.,Monica,neutral,304,6,3,5,"0:11:40,841","0:11:42,745",ans
3042,Yo!! Spackel boy! Get up!,Chandler,neutral,304,7,3,5,"00:11:43,244","00:11:49,624",c
3043,"Ah-ah-ah, now you started this, you will finish it.",Monica,anger,304,8,3,5,"00:11:46,622","00:11:49,624",o
3044,He started mine first!,Chandler,anger,304,9,3,5,"00:11:49,792","00:11:51,626",s
3045,"Build the unit Cinderelly, lay the tile Cinderelly.",Phoebe,anger,304,10,3,5,"00:11:51,794","00:11:54,754",c
3046,Come on Chloe! Finish up with your customer first. Come on Chloe! Come on Chloe!!,Chandler,joy,305,0,3,15,"00:02:33,236","00:02:36,446",c
3047,Can I help you?,Issac,neutral,305,1,3,15,"00:02:39,826","00:02:40,868",q
3048,Uh-oh.,Chandler,fear,305,2,3,15,"00:02:41,244","00:02:43,162",oth
3049,"Uh, y'know what, were having second thoughts about our copying needs. And well need a little more time to think about it.",Joey,neutral,305,3,3,15,"00:02:44,622","00:02:54,756",s
3050,"Chloe, switch with me, theres some guys here that got a crush on you.",Issac,neutral,305,4,3,15,"00:02:51,337","00:02:54,756",s
3051,"Okay, that hurt us.",Chandler,joy,305,5,3,15,"00:02:56,384","00:02:58,427",s
3052,Hi guys. I havent seen you since this morning.,Chloe,neutral,305,6,3,15,"00:02:59,053","00:03:02,139",s
3053,"Well ah, ........y'know.",Chandler,neutral,305,7,3,15,"00:03:02,849","00:03:07,936",oth
3054,"Hey, what are you guys doing tomorrow night?",Chloe,neutral,305,8,3,15,"00:03:09,272","00:03:11,481",q
3055,Both of us?,Joey,surprise,305,9,3,15,"00:03:11,983","00:03:13,358",q
3056,Maybe. Does that scare ya?,Chloe,neutral,305,10,3,15,"00:03:13,735","00:03:16,028",q
3057,Relax. Its just Issacs D.J.-ing at the Philly. You should come.,Chloe,neutral,305,11,3,15,"00:03:20,909","00:03:25,996",ans
3058,Well be there.,Joey,joy,305,12,3,15,"00:03:24,037","00:03:25,996",s
3059,"Great. Ill ah, see ya then.",Chloe,joy,305,13,3,15,"00:03:26,164","00:03:28,457",s
3060,"All right, rock on.",Chandler,joy,305,14,3,15,"00:03:28,625","00:03:30,334",s
3061,"Umm, candles, champagne, yeah anniversaries are great.",Ross,joy,306,0,3,17,"00:12:45,890","00:12:50,602",o
3062,"Cause you know love lasts forever, y'know.",Ross,joy,306,1,3,17,"00:12:51,103","00:12:53,605",o
3063,"Nothing like it in this lifetime, money in the bank, so Rachel and I broke up.",Ross,sadness,306,2,3,17,"00:12:57,943","00:12:59,694",s
3064,"Oh God, Ross I am so sorry.",Carol,joy,306,3,3,17,"00:13:01,238","00:13:03,782",ap
3066,"Y'know what, I want to talk to you about this so much, but we should probably do it when we could really get into it, are you free for dinner tomorrow night?",Carol,neutral,306,4,3,17,"00:13:05,284","00:13:13,583",o
3067,"Oh yeah, Id love that.",Ross,joy,306,5,3,17,"00:13:11,332","00:13:13,583",ag
3068,"Oh, great! Me too.",Carol,joy,306,6,3,17,"00:13:13,751","00:13:14,751",ag
3069,I guess it all started when Rachel got this new job.,Ross,neutral,306,7,3,17,"00:13:14,919","00:13:18,588",o
3070,And why do you care so much?,Ross,neutral,307,0,4,17,"00:04:07,330","00:04:08,664",q
3071,Because! You could get to live out my fantasy!,Monica,joy,307,1,4,17,"00:04:08,831","00:04:12,542",ans
3072,You had fantasies about Emily?,Ross,sadness,307,2,4,17,"00:04:13,169","00:04:15,170",q
3073,"No! Yknow,",Monica,neutral,307,3,4,17,"00:04:16,673","00:04:18,000",ans
3074,Is that why in junior high you were the only one that hung out with that Ukrainian kid?,Ross,neutral,307,4,4,17,"00:04:25,098","00:04:29,601",q
3075,"Yeah that, plus his mom used to put sour cream on everything!",Monica,neutral,307,5,4,17,"00:04:30,853","00:04:35,440",ans
3077,Do you love her?,Monica,neutral,307,6,4,17,"00:04:37,026","00:04:38,028",q
3078,"We said it was only going to be two weeks, yknow?",Ross,neutral,307,7,4,17,"00:04:39,362","00:04:42,364",ans
3079,You love her!,Monica,surprise,307,8,4,17,"00:04:43,658","00:04:45,200",s
3080,What-what is love really?,Ross,neutral,307,9,4,17,"00:04:45,868","00:04:48,370",q
3081,"Ohhh, I",Monica,neutral,307,10,4,17,"00:04:48,955","00:05:07,764",oth
3082,I am a good kisser.,Ross,neutral,307,11,4,17,"00:05:08,808","00:05:10,851",s
3083,"Then you two can, can sneak into the cockpit, and things will start to heat up, and then a stewardess comes in Ive been watching too much porn.",Monica,neutral,307,12,4,17,"00:05:12,186","00:05:22,237",o
3084,So basically this is very easy. You read from the script and try to sell as much toner as you possibly can.,Supervisor,neutral,308,0,7,13,"00:04:13,544","00:04:19,341",s
3085,"Okay, I can do that! Oh, by the way, I",Phoebe,joy,308,1,7,13,"00:04:19,509","00:04:24,846",ag
3086,Why dont we do a trial run.,Supervisor,neutral,308,2,7,13,"00:04:25,014","00:04:28,141",o
3087,"Oh okay. Umm, all right. Hi, this is Phoebe from Empire Office Supplies, can I speak to your supply manager please?",Phoebe,neutral,308,3,7,13,"00:04:28,768","00:04:37,317",q
3088,Im the supply manager.,Supervisor,neutral,308,4,7,13,"00:04:37,485","00:04:39,069",s
3089,"Umm, okay I would like to talk to you about your toner needs.",Phoebe,neutral,308,5,7,13,"00:04:39,237","00:04:41,488",s
3090,"Kathy! Kathy! Hi!! Kathy! Kathy! (She doesn't hear him and keeps running, Chandler starts chasing her as the theme to",Chandler,joy,309,0,4,5,"00:11:45,121","00:12:26,161",g
3091,"Hey, Chandler! What are you doing here?",Kathy,surprise,309,1,4,5,"00:12:26,704","00:12:29,414",g
3092,"Oh, I just wanted to say, ""Hey!""",Chandler,joy,309,2,4,5,"00:12:31,208","00:12:32,917",g
3093,Hey!,Kathy,neutral,309,3,4,5,"0:12:34,003","0:12:34,555",g
3094,Okay.,Chandler,neutral,309,4,4,5,"0:12:34,555","0:12:37,055",oth
3095,"Oh, hey, Mon, do you still have your like old blouses and dresses from high school?",Phoebe,neutral,310,0,4,13,"00:02:02,455","00:02:06,375",q
3096,"Yeah, I think I have some around here somewhere. Why?",Monica,neutral,310,1,4,13,"00:02:07,127","00:02:09,545",q
3097,"Well, its just that maternity clothes are so expensive.",Phoebe,joy,310,2,4,13,"00:02:09,712","00:02:11,880",ans
3098,"Hey, Rach! I made a pile of your stuff over on this side of the room. If you could justthrow your purses at it.",Monica,sadness,310,3,4,13,"00:02:14,717","00:02:22,516",s
3099,Bloomingdales,Rachel,neutral,310,4,4,13,"00:02:23,059","00:02:25,394",oth
3100,"Oh my God, are you out of a job?",Monica,surprise,310,5,4,13,"00:02:27,021","00:02:30,315",q
3101,"No, but they stuck me in personal shopping. Which is just a",Rachel,sadness,310,6,4,13,"00:02:27,021","00:02:32,693",ans
3102,Okay!,Phoebe,neutral,311,0,4,9,"0:00:04,879","0:00:06,801",oth
3103,"Come on, no peeking!",Monica,joy,311,1,4,9,"0:00:06,801","0:00:07,312",c
3104,Our eyes are closed and were about to cross the street. Very good.,Chandler,joy,311,2,4,9,"00:00:07,424","00:00:11,343",s
3105,"Okayyyyy, open up!",Phoebe,joy,311,3,4,9,"00:00:11,511","00:00:13,303",c
3106,What did you want to show us? Because all I can see is this,Ross,neutral,311,4,4,9,"00:00:17,183","00:00:22,604",q
3107,"Yeah, its for our catering business!",Phoebe,joy,311,5,4,9,"00:00:24,149","00:00:25,774",ans
3108,I think I know that girl.,Joey,neutral,311,6,4,9,"00:00:25,942","00:00:27,985",o
3109,"All right, umm, were not gonna really keep it this way though.",Monica,joy,311,7,4,9,"0:00:30,113","0:00:33,005",s
3110,No?,Rachel,surprise,311,8,4,9,"0:00:33,005","0:00:33,762",oth
3111,"No, were gonna paint over the sword, and replace it with a baguette.",Phoebe,neutral,311,9,4,9,"00:00:33,867","00:00:36,910",o
3112,Oh!,Rachel,surprise,311,10,4,9,"00:00:37,078","00:00:38,746",b
3113,"And also, we dont know what to do with this.",Phoebe,neutral,311,11,4,9,"00:00:38,913","00:00:42,166",s
3114,"Oh yeah, I definitely know her.",Joey,neutral,311,12,4,9,"00:00:44,961","00:00:47,212",s
3115,"You dont know?! Rach, you balded my girlfriend!",Ross,neutral,312,0,3,25,"00:16:14,598","00:16:16,766",s
3116,"All right! Ross, do you think its easy for me to see you with somebody else?",Rachel,anger,312,1,3,25,"00:16:16,934","00:16:23,439",q
3117,"Y'know, hey! Youre the one who ended it, remember?",Ross,anger,312,2,3,25,"00:16:23,607","00:16:25,650",q
3118,"Yeah, because I was",Rachel,neutral,312,3,3,25,"00:16:25,818","00:16:29,862",ans
3119,You still love me?,Ross,sadness,312,4,3,25,"0:16:31,240","0:16:32,283",q
3120,Noo.,Rachel,sadness,312,5,3,25,"0:16:32,283","0:16:34,132",ans
3121,You still love me.,Ross,neutral,312,6,3,25,"00:16:35,869","00:16:37,662",s
3122,"Oh, y-yeah, so, you-you love me!",Rachel,surprise,312,7,3,25,"00:16:37,830","00:16:40,331",s
3123,"Noo, nnnnn. What does this mean? What do you, I mean do you wanna, get back together?",Ross,surprise,312,8,3,25,"00:16:45,629","00:16:50,049",q
3124,Noo!,Rachel,anger,312,9,3,25,"0:16:50,217","0:16:50,301",ans
3125,Maybe!,Rachel,surprise,312,10,3,25,"0:16:50,301","0:16:52,780",o
3126,"I, I dont know.",Rachel,neutral,312,11,3,25,"00:16:52,886","00:16:54,512",s
3127,"Ross, I still cant forgive you for what you did, I cant, I just, but sometimes when Im with you I just, I feel so...",Rachel,sadness,312,12,3,25,"00:16:56,890","00:17:07,442",s
3128,What?!,Ross,sadness,312,13,3,25,"00:17:07,609","00:17:08,735",q
3129,"I just, I feel, I-I just...",Rachel,neutral,312,14,3,25,"00:17:09,862","00:17:15,575",oth
3130,What?,Ross,neutral,312,15,3,25,"00:17:13,323","00:17:15,575",q
3131,I feel...,Rachel,neutral,312,16,3,25,"00:17:16,201","00:17:17,702",oth
3132,"Noo!! I dont care! Im not, Im not gonna playing one-on-one strip poker with you for practice!",Chandler,anger,312,17,3,25,"00:17:25,669","00:17:31,799",o
3133,But I made cards!!,Joey,sadness,312,18,3,25,"00:17:31,967","00:17:34,052",s
3134,Well! Good night. Im going upstairs.,Rachel,neutral,312,19,3,25,"00:17:35,179","00:17:41,100",g
3135,Good night.,Joey,neutral,312,20,3,25,"00:17:41,351","00:17:43,227",g
3136,Wanna play strip poker for practice?,Joey,sadness,312,21,3,25,"00:17:50,110","00:17:52,320",q
3137,What are you doing?,Joey,neutral,313,0,6,1,"00:21:29,705","00:21:30,746",q
3138,The keys stuck in the lock.,Chandler,neutral,313,1,6,1,"00:21:30,956","00:21:32,456",ans
3139,I can fix it. Hold on. Look out. Look out.,Joey,neutral,313,2,6,1,"00:21:32,666","00:21:37,753",c
3140,It still doesnt work.,Chandler,joy,313,3,6,1,"00:21:44,052","00:21:45,261",s
3142,"Isnt it incredible?! Monica and Chandler, gettin married.",Rachel,joy,314,0,6,25,"00:02:29,232","00:02:34,611",q
3143,"I know, theyre gonna be",Phoebe,joy,314,1,6,25,"00:02:34,863","00:02:37,906",ans
3144,"Ohh I mean two best friends falling in love, how often does that happen?",Rachel,joy,314,2,6,25,"00:02:38,324","00:02:41,034",q
3145,Not,Phoebe,neutral,314,3,6,25,"00:02:41,286","00:02:43,245",ans
3146,No! Im so happy for them!,Rachel,joy,314,4,6,25,"00:02:44,247","00:02:45,831",s
3147,Me too! So happy for them!,Phoebe,joy,314,5,6,25,"00:02:46,082","00:02:48,500",ag
3149,"Oh no! No God, definitely not jealous!",Phoebe,neutral,314,7,6,25,"00:02:52,172","00:02:56,008",s
3150,"I mean Im probably 98% happy, maybe 2% jealous. And I mean whats 2%? Thats nothing.",Rachel,neutral,314,8,6,25,"00:03:05,018","00:03:06,518",s
3151,Totally. Im like 90/10.,Phoebe,joy,314,9,6,25,"00:03:06,769","00:03:13,400",s
3152,Yeah me too.,Rachel,neutral,314,10,6,25,"00:03:10,982","00:03:13,400",ag
3153,"Hey uh, have you guys scene Chandler?",Joey,neutral,314,11,6,25,"00:03:17,530","00:03:20,365",q
3154,"Whno, but yknow who did stop in here looking for ya, Tennille.",Rachel,neutral,314,12,6,25,"00:03:23,953","00:03:28,081",ans
3155,Remember that guy from cooking school I told you about that put cilantro with everything?,Monica,neutral,315,0,4,9,"00:01:38,056","00:01:41,308",q
3156,"Oh sure, Cilantro Larry.",Phoebe,neutral,315,1,4,9,"00:01:41,476","00:01:43,310",ans
